,prod,title,date,ver.purchase,format,stars,comments,attitude
79,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Received fake UA socks
  
",7-May-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          Buyer beware there seems to be fake/knock-offs in this sock. I received today by Amazon and they were fake, everything looked correct, but as others have pointed out UA socks always have the size on the bottom, which these did not. I went to UA's website was $22 so roughly the same amount, but knowing they are real is worth more. Again buyer be aware if no size on the bottom, they are not real UA socks.  ",complaint
80,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Seams coming apart in first hour of wear
  
",3-Aug-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          Wore these for about 1 hour during a morning workout prior to washing. The ankle seam came apart and is completely unraveling. Don't want to go through the hassle of a return for socks, but they should hold up better than this, especially for ""name brand."" On the upside, they are comfortable.  ",neutral
81,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Nice ""comfort"" zones but lots of fabric piles after only 2 weeks of use (fuzz balls)
  
",25-Jan-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,4,"          Fabric pilling is the formation of small, fuzzy balls on the surface of a fabric. It detracts from the appearance of the fabric, making it look old and worn, and it is often difficult to restore a garment with fabric pilling to its original condition.NOT happy to have to shave the pile balls off my socks every couple of washes  ",complaint
82,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Don’t work
  
",10-Feb-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,          They flat out make my feet stink. I don’t want to buy Nike anymore so I tried these to replace my dri-fits. They’re not even close to wicking away the sweat like the dri-fits. My wife even complained they smell terrible in the laundry hamper.  ,complaint
83,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Underarmor either using cheap material or cutting corner when manufacturing.
  
",25-Jul-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,          I'm sadly disappointed in underarmor for the quality and material being used.  Or perhaps it is the manufacturer sewing of ur products.  Something has definitely changed! I would shop at all your stores for our boys buy had to buy size13-14 for their dad.  He would go at keastba year before having to replace all his socks. This pack lasted only 1 month before all the elastic was coming out of sock like frays covering the whole bottom from heels to toes.  Grrr now which company should I buy from?  ,complaint
84,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Seam a little weak
  
",11-Sep-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,3,"          Barely had them a week, wore one pair and the seam on the toe ripped. Tried another pair, they held up, but they let my toe shine through the seam as well. Expected more from under armor. Sew the hole shut and hope it’ll work. However, otherwise great product. Great feel.  ",neutral
85,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Perfect ankle socks
  
",12-Mar-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,5,"          These are the perfect socks I was looking to replace from some I had bought at the Under Armour outlet store.I had to return another pair for being too small from another vendor, But these are perfect If you want them at your ankle.  ",compliment
86,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Love them! Great quality!
  
",20-Mar-22,1,Number of Items: 6Petrol Blue AssortedSize: Medium,5,"          I love the colors!! They are comfortable, there is no slipping off in my workout shoes. Arch band is very supportive! Will be buying again!  ",complaint
87,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Well, they used to be good.....
  
",20-Nov-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,2,"          I was a big fan of these when bought previously.  But something changed.  My previous pairs lasted well over a year with frequent use. The size is now embossed on the bottoms which wasn’t the case previously so clearly they’re not exactly the same anymore.  This time, barely 3 months and getting holes at the pads of the feet.  Guess the search begins for something new.  ",complaint
88,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    The quality is ridiculously low.
  
",3-Mar-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,"          Not happy with these socks one bit. The picture above shows the socks I have had for a little over a year (on the left) and the pulling and stringing of the new pair(s) I have had for a couple weeks. I’m not sure what’s wrong with these but I am thoroughly unimpressed and would return them if I could. All six pairs look the same or worse only after a single wash. I would find socks somewhere else, I know I will be. Also, the fit and feel is not consistent from one pair to the next. Some are longer and shorter than others and some are really tight while others are too loose on the foot.  ",complaint
89,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Obviously fake... DO NOT BUY
  
",30-May-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          Do not purchase these socks! I have been wearing this type of sock from UA for years, so I can say with absolute certainty that these are not real UA socks. All of them looked frizzled after 1 use, whereas the same type of sock from 2 years ago is still in great shapes. I made the mistake of buying these obviously fake UA socks; I hope you don’t make the same mistake.  ",complaint
90,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Falling apart during my first wear!
  
",6-Mar-22,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          First pair of these and the socks are falling apart.  I am replacing some that are several years old, what happened to UA quality or are these knock offs?  ",complaint
91,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    No moisture-wicking at all
  
",24-Oct-17,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,1,          I bought these because I tried on a pair of my fiancé’s UA socks recently and they were amazing! My feet stayed dry ALL day. So I decided to buy some for myself. Well these socks are a complete waist of money. My feet sweat MORE with these socks! Nothing about them is moisture-wicking. Which is unfortunate because the thickness and quality of the sock is actually pretty decent.  ,neutral
92,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Disappointed
  
",28-May-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,2,"          Have purchased Under Armour socks many times over the years...very nice quality and ""sized""!!!However, this package contained 3 (out of 12) socks with holes in them!!!  Moth holes?  Very disappointed.  ",complaint
93,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not worthy of the Under Armour brand
  
",30-Apr-18,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,3,"          Wouldn't buy again.Between my black long pairs and these white one, these are awful.  If your feet get warm they stink bad.  Threads started coming out after the first wash.  The pictured is a middle of the road of how bad they get.  Lots of loose threads with a loose weave waiting to snag on the coffee table and such.But they are comfortable most of the time.  ",complaint
94,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Beware of size claims
  
",23-Jan-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,2,"          This is my second try at purchasing ""ankle socks"" that aren't too small.  My shoe size is 10.5-11 so to be on the safe side this time, I ordered Mens' shoe size 12-16.  Socks arrived today and just BARELY fit if I force them on!  So what's going on with the false advertising on the size??  Anyway, I'm keeping them this time to see how long they last.  ",complaint
95,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Exceptionally low quality; essentially disposable socks
  
",30-Apr-18,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,1,"          After only one wearing, these socks have wear holes in the heels.  It’s a bad sign when you go to remove them from the packaging, and the little plastic bits that hold the pairs of socks together leave holes as they’re removed...  I guess if you don’t mind throwing the socks away after each walk/run, they might work for you, but if you plan on washing and reusing them; look for better quality.  Under Armour quality has gone to the birds.  ",complaint
96,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great Athletic Sock but Not for Golf
  
",4-Aug-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,3,"          I am a size 14 shoe, and wear this height sock in my sneakers or golf shoes. I will say these are not great for golf, but walking or running maybe. I had similar looking UA socks that were a very tight fit. Loved those. These are very cottony and thick. In my golf shoe, they made my foot slide. I am disappointed because I bought them for that reason  ",complaint
97,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Good support
  
",1-May-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,5,          Fit well and gave the needed support.  This is the sock I was looking forward to getting for walking long distance.  They also somehow kept my feet dry when my shoes were wet.  Will buy again as very satisfied with quality of materials  ,compliment
98,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    EXCELLENT moisture wicking socks!
  
",31-Mar-17,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          I've used UA moisture wicking socks for MANY years, and I'm replacing my old - worn out socks.  I'm VERY happy with these socks, I've already bought 2 - 6 packs and I'll be buying at least one more 6 pack.***********Update - My girlfriend bought me another 6-pack for Xmas!  One more 6-pack and I’ll finally be able to phase the older socks out!  ",compliment
99,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Will keep re-purchasing
  
",7-Aug-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,5,          These socks are very comfortable and well fitting. They are a daily wear for my physically demanding job and anything else I do. Can't beat this quality at this price  ,compliment
100,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not real UA
  
",3-Dec-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,"          The product pictured showed the MD/LG on the bottom of the sock as true UA socks have, but the product we received did not have the bottom size markings. I should have believed the other reviewers! I'll send an update on if they hold up the same as true UA, but based on other reviews, I won't hold my breath.  ",neutral
101,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Husband-approved
  
",10-Jul-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,5,"          My husband loves these socks. He is a running and says they're a little thicker for good cushion, and low but not so low they constantly fall down. When he needs new socks, he specifically requests these.  ",compliment
102,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    XL is not XL
  
",10-Sep-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,2,"          First off, these are really comfortable socks. The only reason I gave it 2 stars….XL is not XL.  I wear 13 EE and these socks barely get around my heel.  ",compliment
103,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    These are knock offs, not real UA
  
",31-Jul-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          These are knock offs. I have owned many UA resistor socks, they are the only socks I wear. These do not have the padded areas on the heel and front of the foot. The size is not on the bottom like all resistor socks. Cheap material, tips easy. You should be ashamed trying to pass these off as under armour socks.  ",complaint
104,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Super soft socks!
  
",4-Oct-16,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,5,"          I ordered 2 packs of the Under Armour XL Men’s socks when they were on sale, and both my husband and brother said they are the softest, most comfortable pair of socks that they own. They both highly recommend these out of any other sock. Both of them have basic socks, and even other Under Armour socks, but these are by far their favorite. I will be stocking up on these again for them. If you are a fan of UA, then you definitely need to add these to your collection!I was a little nervous about ordering the XL and both men wear between a 9-10.5 shoe sizes, but they fit them just fine. They do stretch so if you have bigger feet they would still fit.  ",compliment
105,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Straight up garbage
  
",10-Oct-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          These socks were absolutely the worst I've ever bought. After 1 wash they were big enough for a size 16 foot. They can't be real UA socks. Amazon your site is filled with repeated attempts from your paying customers that fakes are being sold on Amazon.com,  yet, no response from your company ever. Not one reply.  ",complaint
106,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Falling apart after one month.
  
",16-Mar-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          I've had these socks for a little more than a month and they are already falling apart.  I've had other UA socks in the past that were great, but these are trash.  It's not like I'm out there training for a marathon.  This is during quarantine, so I'm mostly just wearing them around the house to keep my feet warm.  There is no reason they should be falling apart like this.  I have had almost half of all the 12 pair that I bought develop holes like this in various places.  ",complaint
107,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Listen to the reviews
  
",31-Oct-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,1,"          I didn't listen to the reviews because I figured others were mistreating the socks and a brand like under armour couldn't possibly make such a horrible product. Well, after the first wash they were already fraying as if I'd had them for years. EXTREMELY disappointing.  ",complaint
108,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Terrible quality
  
",29-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,1,          After first or second wash all the socks have threads coming out quality socks. Comfort as expected but arch support is not there.  ,complaint
109,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not durable
  
",29-Dec-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          Upon wearing a few pairs after 1 wash they seem to rip and tear when putting them on. I am highly unsatisfied  ,complaint
110,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Solid, comfortable socks.
  
",26-Oct-17,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          I personally like the underarmor socks over other brands I have used in the past. They are nice athletic socks with a heavier bottom for wear and tear. The elastic on them seems like it will last for a while and these ""hug your feet"" as opposed to cheaper socks that get loose and droopy over time. So far I have ordered 3 packs of these and have not been disappointed. Just a thought, if you like thin socks, I would look elsewhere; these are thick cotton and cushiony.  ",compliment
111,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Torn up from one wear
  
",20-Jun-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          They got all torn up after one wear. I put them on tonight, wore them with shoes for about 3 hours and saw this when I took off my shoes. I usually love under armour for their good quality but this seems to be he exception  ",complaint
112,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not happy
  
",24-Dec-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,2,          Normal I love Under Armor socks and I've purchased these before and still were them. However this time the socks are coming apart. Ive been wearing the same socks for over a year without any problems but this order they started falling apart the second time I washed them. I don't know if it's a quality issue or if I just happened to get some defective ones.  ,complaint
113,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Worst socks I ever owned
  
",28-Dec-21,1,Number of Items: 6White/Gray AssortedSize: Medium,1,          These things are made so cheaply. Hard to believe they are under armor.  Very thing. Already fell apart  ,complaint
114,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    These socks were cut lower than I thought they would be.
  
",2-Mar-22,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,4,          These  are a nice socks if you like very low cut. I was actually looking for ankle socks.  ,compliment
115,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Poor stitching
  
",23-Feb-22,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,2,          The stitching on this product is very weak. After wearing just a couple of times in a couple of washes the stitching has come on done on several pair.  ,complaint
116,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Garbage
  
",25-Jan-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          Ordered some socks and put them on, minutes after wearing them for the first time threads were dragging, and they looked like they were about to fall apart.  Every pair in the pack I have bought looked like that after one wear and most have holes forming, they feel as though they are made of the thinnest thread possible with no regard for quality.  Massively disappointed.  ",complaint
117,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Perfect
  
",4-Feb-22,1,Number of Items: 6Cosmo Blue AssortedSize: Medium,5,          Really comfy and stay put on my feet with no discernible seam at the toes. Very pleased.  ,compliment
118,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Very undersized.
  
",13-Mar-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,"          Very undersized. I found them to be about 4 sizes too small. I ordered one that would fit my size 14 feet,  I can't even get them on without them ripping and tearing.  ",complaint
119,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Poor quality
  
",15-Apr-21,1,Number of Items: 12White/Graphite (12-pairs)Size: Large,1,          These are the worst Under Armor socks that we have ever purchased for my husband. He has consistently been wearing UA socks for 15+ years and has been happy with how they wear and last! He hasn't even gotten a month out of these socks and 4 already have holes. Wish we would've just ordered direct from UA. Very disappointing.  ,complaint
120,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Quality
  
",3-Oct-21,1,Number of Items: 12Black/Graphite (12-pairs)Size: Large,5,          These are my son's favorite socks.  They are durable and a great color for those that like to walk outside with their socks.  ,compliment
121,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    PHL
  
",28-Aug-20,1,Number of Items: 6Black/White (6-pairs)Size: Medium,5,"          I finally found these socks, they’re my second set of a pack of 6. I wear them all summer and are very comfy.  ",compliment
122,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Not a fan...not for big feer (sz 14)
  
",28-Jun-20,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,2,"          I wear a size 14 and expected these to fit better. They are very small for a XLG sipposedly sizes 12 to 16. They stretch well and are soft, but still are a bit uncomfortable because they are obviously too small. Beware if you wear size 14 or above.  ",neutral
123,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Very Stylish!
  
",8-Nov-21,1,Number of Items: 6White/Gray AssortedSize: Medium,5,          Love these socks! They don't fall down in my shoes as I'm wearing them. The design is cool when you are walking barefoot. Thin and comfortable. Fit is nice. Would definitely purchase again.  ,compliment
124,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Holes...
  
",21-Mar-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,"          I've had these socks for just 2 short months.  I do wear a pair each day, but usually rotate through each pair everyday.  Mine have all developed holes in them on the sole of them.  They all have worn out in the last 2 days.  I've been forced to toss them.  I would look else where for a sock that lasts longer if I were you.  ",complaint
125,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Best men's socks
  
",30-Oct-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,          Look no further when purchasing men's socks. I have purchased these for my husband and he swears by them. The thickness and for are right on the money and he loves that his feet do not get hot.  ,compliment
126,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Fall apart/shred after one use.  DON’T BUY
  
",20-Oct-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,          These gotta be fake knock off versions.  They fall apart literally first day using .  The friction between socks and inside my shoes caused these socks to shred.  Holes in the socks after one time use.  No way under armor sells a product that falls apart so quickly.  AVOID THESE!!  ,complaint
127,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Comfortable but poor quality material
  
",23-Jun-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,2,          Like the look and comfort.  Unfortunately socks began to pill on the first day walking around the house.  Same result with a different pair worn with shoes.  Socks also tend to shrink a bit upon washing and even more pilling.  Poor quality product especially for the price.  Expected more from under armor. Will not buy again  ,complaint
128,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Perfect fit for size 14 foot
  
",28-May-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          Really liking these socks. Been wearing them for about two months, they're holding up well. And most importantly, they fit. I have a size 14 foot, purchased the X-Large size, which fit perfectly. It's hard to find a sock that actually fits, used to get Puma's but they changed their sizing and no longer fit, so these were a great find. Will be purchasing more in the future.  ",compliment
129,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Excellent socks with a caveat
  
",4-Aug-20,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,1,          These are first rate socks if you wear no larger than a 12.As I wear  size 12 1/2 they're a little short and so I dropped them off at Goodwill and I'm looking for the same or similar sock in larger size.  ,neutral
130,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    My second 6-pack!
  
",16-May-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          I bought a 6-pack of these socks 5 years ago and still have some of them. I wear these socks all the time, whether working out or playing golf. They take a lot of abuse and just last and last. They breathe well, feel very nice, provide adequate cushioning and are durable as heck. After a few of the pairs finally developed holes in the heels, I was so happy to see that Under Armor is still making this sock and it's still a great deal.  ",compliment
131,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Socks that Stay Up!!!
  
",20-Feb-22,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,5,          Can never stand that socks always fall off your heel! These don’t!  ,compliment
132,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great socks
  
",9-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          These socks are by far the best I have used for every day wear and espeically for working out.  My feet are usually really sweaty after working out, but not with these. So if I forget an extra pair to change into, its not as big of a deal like my cotton socks that get soaked!  Will be getting some other colors!!  ",compliment
133,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Very low durability
  
",10-Aug-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,2,          If you have calloused feet forget these. After wearing and laundering 3 times. Each and every pair has a hole in the heel. Maybe they will work fine for someone who doesn’t work on their feet all day  ,complaint
134,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Poor quality don’t buy
  
",20-Jul-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,          Right away I noticed that they were frayed and after just 2 washes one pair got a hole in it. After that they all seemed to start falling apart. Out of the original order I am down to just 3 pair. Will not order again especially since the price was higher than what I usually spend.  ,complaint
135,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Worthless
  
",28-Nov-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,          Can't tell the truth against amazon so here we go.Wonderful product from a Wonderful seller. We should all be on our knees thanking amazon  ,compliment
136,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Holds up well
  
",11-Aug-21,1,Number of Items: 6Black/WhiteSize: Large,5,          Its got good support. Its very comfortable. They are good quality cotton. I would recommend these socks to others.  ,compliment
137,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Holds shape after multiple washings.
  
",20-Nov-21,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,5,"          My "" go to"" socks - fair price - good fit - holds shape after multiple washings.  ",compliment
138,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Just perfect!
  
",11-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,          These socks are ‘the best’. Plenty of room. Low cut. Not slippery inside the shoe. Cool and comfortable.  Lots of sock manufacturers have just went downhill but these UA socks are still the best.  ,compliment
139,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    not size 12-16
  
",24-Jul-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,2,          my wife has a size seven shoe & they fit her good !  Sad !! Just to small for me ! 12 shoe !  ,complaint
140,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Niceee!!!!
  
",20-Jun-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,5,"          Its hard to find low cut socks to where you want it on your ankle. These socks are like Smart Socks, you can pull it to where you want it and it'll stay there. Great quality and comfortable material.  ",compliment
141,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Runs small
  
",29-Aug-20,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,4,          Bought these and got a extra large for my son who wears a size 15. They were too small so beware they run small. But good quality for the price. I was able to use them for myself.  ,compliment
142,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    They don't hold up
  
",1-Jun-18,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,2,"          They look good and feel good on my feet, being a diabetic this means a lot . But in the short time I've had them I've already thrown three away with holes in them and have noticed a couple more will follow soon. Location of holes mostly on front of foot at ankle, have never had this with any other brand of socks. Very surprised not Under Amor quality!  ",complaint
143,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Night and day difference! Updated
  
",17-Jul-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,3,          Went from the Nike cotton socks to these and definitely no regrets. These feel amazing right out of the box. Night and day difference!Update: after about 3 months of wearing these there are strings coming out everywhere and they're slowly falling apart.  ,compliment
144,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    On the fence
  
",3-Aug-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Medium,4,          My feet were super sweaty and hot.  They are comfy for a couple hours but 10 hours was pushing it.  ,neutral
145,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    They won't last too long with regular use
  
",17-Dec-20,1,Number of Items: 6White/Graphite (6-pairs)Size: Medium,5,"          These are my go-to socks. I prefer the cotton ones. They last longer. These are good though - great price, just plan on about 6 months of solid wear.  ",compliment
146,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Inconsistant Quality, Untrimmed strings, Falling apart a year later
  
",2-May-19,1,Number of Items: 6White/Graphite (6-pairs)Size: Large,1,"          Ultimately I wanted to like these socks. They are made with a comfortable material, and have a decent style to them. First set I got was good enough to order a second matching set. there were a few socks with the string edge problem, but not many. Second set was horrible, some of the socks were too small, despite having the same ""size"" (LG) listed on the foot. And all of them had strings sticking out on every edge. I bought the second pair almost a year ago, and some of them are falling apart. Frankly, I would not buy these socks again under these conditions, and it dampens my opinion of the brand as a whole. Poor quality control, bad socks, don't buy.  ",complaint
147,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Began to fall apart after only a few washes
  
",12-Jan-19,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,1,          I've been buying Under Armour anklet socks for a decade and never had problems.  These are literally dragging 6-inch threads as I walk after only a few wearings.  And they are all like that.  Now I have to find a new sock brand I like.  ,complaint
148,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Fake Under Armour don't buy.
  
",5-Mar-20,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,1,"          Cheap knockoff, no size on the bottom like the real brand name, threads were coming out before I even touched the socks. Stay away.  ",complaint
149,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Worn socks in a new pack.
  
",1-Oct-20,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,2,          This was a repackaged item (packaging was retaped which is fine) but when separating the pairs to wash I noticed there was a worn pair in the package! That is unsanitary and disgusting. Very disappointed.  ,complaint
150,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Under armour should be ashamed such a inferior product.
  
",14-Oct-19,1,Number of Items: 6White/Graphite (6-pairs)Size: X-Large,1,          This was the worst under armour socksPurchased. Hope Amazon patrons read this and see the picture.under armour should be a shamed for putting such an inferior product on Amazon. In all the years i have used Amazon i have never wrote a review but had to on this awful product  ,complaint
151,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Great comfy socks!
  
",10-Mar-21,1,Number of Items: 6Black/Graphite (6-pairs)Size: Large,5,"          My boyfriend only wears these socks and he absolutely loves them, they last a while too before we have any issues with holes.  ",
152,"Under Armour Adult Resistor 3.0 Low Cut Socks, Multipairs","







  
  
    Develops holes quickly
  
",3-Sep-18,1,Number of Items: 6Black/Graphite (6-pairs)Size: X-Large,2,"          I wear a US size 11.5 men's shoe.The large fits, but the XL is what's comfortable. They haven't developed any holes, which other brands did quickly.There's a padding/heat tradeoff. The padding is great, but your feet are going to get a bit hot.*update - they started holing in less than two months*  ",
